key,variables,en,tr,ar,pl,br
ui_auction_title,,"<font size=""20"" color=""#ffffff""><p align=""center"">Auction","<font size=""20"" color=""#ffffff""><p align=""center"">İhale","<font size=""20"" color=""#ffffff""><p align=""center"">مزاد",,"<font size=""20"" color=""#ffffff""><p align=""center"">Leilão"
ui_auction_card,cardid|title,"<p align=""center""><font size=""12"" color=""#000000""><a href=""event:auctioncard_{cardid}"">{$title}",,,,
ui_auction_highest,bid|bidder,"<font color=""#000000"">Highest Bid: <VP>${bid}\n<font color=""#000000"">Highest Bidder: <V>{bidder}","<font color=""#000000"">En Yüksek Teklif: <VP>${bid}\n<font color=""#000000"">En Yüksek Teklifi Veren: <V>{bidder}","<font color=""#000000"">اعلى رهان: <VP>${bid}\n<font color=""#000000"">اعلى مراهن: <V>{bidder}",,"<font color=""#000000"">Maior Lance: <VP>${bid}\n<font color=""#000000"">Maior Lance: <V>{bidder}"
ui_auction_fold,,"<p align=""center""><a href=""event:auction_fold""><b><font size=""12"" color=""#ffffff"">FOLD","<p align=""center""><a href=""event:auction_fold""><b><font size=""12"" color=""#ffffff"">Çekil","<p align=""center""><a href=""event:auction_fold""><b><font size=""12"" color=""#ffffff"">انسحاب",,"<p align=""center""><a href=""event:auction_fold""><b><font size=""12"" color=""#ffffff"">DOBRAR"
ui_property_title,title,"<p align=""center""><font size=""15"" color=""#000000""><a href=""event:closecard"">{$title}",,,,
ui_button_buy,,"<VP><b><p align=""center""><a href=""event:buy"">BUY</a>","<VP><b><p align=""center""><a href=""event:buy"">SATIN AL</a>","<VP><b><p align=""center""><a href=""event:buy"">شراء</a>",,"<VP><b><p align=""center""><a href=""event:buy"">COMPRAR</a>"
ui_button_auction,,"<VP><b><p align=""center""><a href=""event:auction"">AUCTION</a>","<VP><b><p align=""center""><a href=""event:auction"">İHALE</a>","<VP><b><p align=""center""><a href=""event:auction"">مزاد</a>",,"<VP><b><p align=""center""><a href=""event:auction"">LEILÃO</a>"
ui_house_title,,"<font size=""19"" color=""#ffffff""><p align=""center""><a href=""event:close_house"">Manage Properties","<font size=""19"" color=""#ffffff""><p align=""center""><a href=""event:close_house"">Mülkleri Yönet","<font size=""19"" color=""#ffffff""><p align=""center""><a href=""event:close_house"">أدارة الممتلكات",,"<font size=""19"" color=""#ffffff""><p align=""center""><a href=""event:close_house"">Gerenciar Propriedades"
ui_tokens_title,,"<font size=""15"" color=""#ffffff""><b><p align=""center"">Pick Token & Color","<font size=""15"" color=""#ffffff""><b><p align=""center"">Taş & Renk Seç","<font size=""15"" color=""#ffffff""><b><p align=""center"">أختر شكل و لون",,"<font size=""15"" color=""#ffffff""><b><p align=""center"">Escolha Token & Cor"
ui_trade_title,,"<font size=""15"" color=""#ffffff""><b><p align=""center"">Trade","<font size=""15"" color=""#ffffff""><b><p align=""center"">Takas","<font size=""15"" color=""#ffffff""><b><p align=""center"">تبادل",,"<font size=""15"" color=""#ffffff""><b><p align=""center"">Trocar"
buy_house,,"<p align=""center""><b><VP><a href=""event:buy_house"">Buy House","<p align=""center""><b><VP><a href=""event:buy_house"">Ev Satın Al","<p align=""center""><b><VP><a href=""event:buy_house"">شراء منزل",,"<p align=""center""><b><VP><a href=""event:buy_house"">Comprar Casa"
sell_house,,"<p align=""center""><b><R><a href=""event:sell_house"">Sell House","<p align=""center""><b><R><a href=""event:sell_house"">Ev Sat","<p align=""center""><b><R><a href=""event:sell_house"">بيع منزل",,"<p align=""center""><b><R><a href=""event:sell_house"">Vender Casa"
auction_no_bid,,<R>Auction ended with no bid.,<R>İhale teklifsiz sona erdi.,<R>انتهى المزاد بدون أي عرض,,<R>O leilão terminou sem lance.
mortgage,,"<p align=""center""><b><R><a href=""event:mortgage"">Mortgage","<p align=""center""><b><R><a href=""event:mortgage"">İpotek","<p align=""center""><b><R><a href=""event:mortgage"">ارهن",,"<p align=""center""><b><R><a href=""event:mortgage"">Hipotecar"
unmortgage,,"<p align=""center""><b><VP><a href=""event:unmortgage"">Unmortgage","<p align=""center""><b><VP><a href=""event:unmortgage"">İpotek Kaldır","<p align=""center""><b><VP><a href=""event:unmortgage"">ازالة الرهن",,"<p align=""center""><b><VP><a href=""event:unmortgage"">Desembolsar"
afk_on,,<ROSE>You're now in AFK mode.,<ROSE>AFK moduna geçtin.,<ROSE> أنت الآن في وضع السكون,,<ROSE>Agora você está no Modo AFK
afk_off,,<ROSE>Welcome back!,<ROSE>Tekrar hoşgeldin!,<ROSE>مرحبًا بعودتك!,,<ROSE>Bem-vindo(a) de novo!
follow_instructions,,Follow Instructions On Top Card,Kartın Üzerindeki Talimatları Takip Et,اتبع التعليمات الموجودة على البطاقة,,Siga as Instruções No Top Card
board_1,,Go - Collect $200 salary as you pass,Başlangıç - Geçerken $200 al,$البداية - احصل على200\nكلما مررت,,Go - Colete $200 ao passar
card_1,,{#board_1},,,,
board_2,,Vanilla Avenue,Vanilla Caddesi,شارع الفانيليا,,Avenida Vanilla
card_2,,<N>{#board_2}</N>,,,,
board_3,,Community Chest,Topluluk Sandığı,صندوق المجتمع,,Baú da Comunidade
card_3,,{#board_3},,,,
board_4,,Defilante Street,Defilante Sokak,شارع ديفيلانت,,Rua Defilante
card_4,,<N>{#board_4}</N>,,,,
board_5,,Income Tax,Gelir Vergisi,الدخل ضريبة,,Imposto de renda
card_5,,{#board_5},,,,
board_6,,Deathmatch Station,Deathmatch İstasyonu,محطة ديثماتش,,Estação Deathmatch
card_6,,{#board_6},,,,
board_7,,Parkour Street,Parkour Sokak,شارع باركور,,Rua Parkour
card_7,,{#board_7},,,,
board_8,,Chance,Şans,فرصة,,Chance
card_8,,{#board_8},,,,
board_9,,Racing Route,Racing Yolu,طريق السباق,,Rota Racing
card_9,,{#board_9},,,,
board_10,,Fight Boulevard,Fight Bulvarı,قتال بوليفارد,,Avenida Luta
card_10,,{#board_10},,,,
board_11,,In Jail - Just Visiting,Hapiste - Sadece Ziyaretçi,في السجن - مجرد زيارة,,Na Cadeia - Apenas visitando
card_11,,{#board_11},,"<font size=""10"">{#board_11}</font>",,
board_12,,Transformice Alley,Transformice Geçiti,زقاق ترانسفورمايس,,Beco do Transformice
card_12,,"<font size=""10"">{#board_12}</font>",,"<font size=""14"">{#board_12}</font>",,
board_13,,Electric Utility Company,Utility Elektrik Hizmetleri,شركة المرافق الكهربائية,,Utility Empresa de Elétrica
card_13,,{#board_13},"<font size=""9"">{#board_13}</font>",,,
board_14,,Batata Avenue,Batata Caddesi,شارع بطاطة,,Avenida Batata
card_14,,{#board_14},,,,
board_15,,Dancefloor Alley,Dancefloor Geçiti,قاعة حلبة الرقص,,Beco Dancefloor
card_15,,{#board_15},,,,
board_16,,Trade Station,Trade İstasyonu,محطة التجارة,,Estação de Troca
card_16,,{#board_16},,,,
board_17,,Prophunt Avenue,Prophunt Caddesi,شارع بروبهانت,,Avenida Prophunt
card_17,,"<font size=""12"">{#board_17}</font>",,,,
board_18,,Community Chest,Topluluk Sandığı,صندوق المجتمع,,Baú da Comunidade
card_18,,{#board_18},,,,
board_19,,Football Venue,Football Mekanı,ملعب كرة القدم,,Local de Football
card_19,,{#board_19},,,,
board_20,,Unotfm Street,Unotfm Sokak,شارع اونو,,Rua Unotfm
card_20,,{#board_20},,,,
board_21,,Village AFK,AFK Köyü,قرية النوم,,Vila AFK
card_21,,{#board_21},,"<font size=""16"">{#board_21}</font>",,
board_22,,Spiritual Avenue,Spiritual Caddesi,الجادة الروحية,,Avenida Spiritual
card_22,,{#board_22},,,,
board_23,,Chance,Şans,فرصة,,Chance
card_23,,{#board_23},,,,
board_24,,Freezertag Road,Freezertag Yolu,طريق فريزرتاج,,Estrada Freezertag
card_24,,{#board_24},,,,
board_25,,Towerdefense Street,Towerdefense Sokak,شارع الدفاع عن البرج,,Rua Towerdefense
card_25,,"<font size=""10"">{#board_25}</font>",,"<font size=""14"">{#board_25}</font>",,
board_26,,Survivor Station,Survivor İstasyonu,محطة النجاة,,Estação Survivor
card_26,,{#board_26},,,,
board_27,,Circuit Avenue,Circuit Caddesi,شارع الدائرة,,Avenida Circuit
card_27,,{#board_27},,,,
board_28,,Ratapult Plaza,Ratapult Plaza,راتابولت بلازا,,Praça Ratapult
card_28,,{#board_28},,,,
board_29,,Water Cbase Company,Cbase Su Hizmetleri,شركة سيباس للمياه,,Empresa de Água Cbase
card_29,,{#board_29},"<font size=""10"">{#board_29}</font>",,,
board_30,,Mycity Avenue,Mycity Caddesi,شارع مايسيتي,,Avenida Mycity
card_30,,{#board_30},,,,
board_31,,Go To Jail,Hapise Git,أذهب الى السجن,,Vá para prisão
card_31,,{#board_31},,,,
board_32,,Hardcamp Avenue,Hardcamp Caddesi,حارة هاردكامب,,Avenida Harcamp
card_32,,"<font size=""12"">{#board_32}",,"<font size=""14"">{#board_32}</font>",,
board_33,,Hidenseek Boulevard,Hidenseek Bulvarı,شارع هيدينسيك,,Avenida Hidenseek
card_33,,"<font size=""10"">{#board_33}",,"<font size=""14"">{#board_33}</font>",,
board_34,,Community Chest,Topluluk Sandığı,صندوق المجتمع,,Baú da Comunidade
card_34,,{#board_34},,,,
board_35,,Divinity Avenue,Divinity Caddesi,حي ديفينتي,,Avenida Divinity
card_35,,{#board_35},,,,
board_36,,Cannonup Station,Cannonup İstasyonu,محطة كانونوب,,Estação Cannonup
card_36,,{#board_36},,,,
board_37,,Chance,Şans,فرصة,,Chance
card_37,,{#board_37},,,,
board_38,,Records Park,Records Parkı,حديقة ريكوردز,,Parque Records
card_38,,<N>{#board_38}</N>,,,,
board_39,,Luxury Tax,Özel Tüketim Vergisi,الرفاهية ضريبة,,Imposto de luxo
card_39,,{#board_39},,,,
board_40,,Bootcamp Avenue,Bootcamp Caddesi,جادة بوتكامب,,Avenida Bootcamp
card_40,,"<N><font size=""12"">{#board_40}</font></N>",,,,
community_1,,"
Advance to Go
Collect $200","Başlangıça ilerle
$200 al",\nتقدم الى البداية\n$احصل على 200,,Vá para GO coleta $200
community_2,,"

Go back to Vanilla Avenue",Vanilla Caddesine geri dön,\n\nارجع إلى شارع فانيلا,,Volte para Avenida Vanilla
community_3,,"
Bank error in your favor
Collect $200","Bankada senin yararına bir hata oldu
$200 kazandın",\nخطأ بنكي لصالحك\n$احصل على 200,,Erro do banco em seu favor Colete $200
community_4,,"

From sale of stock you get $50",Hisse satışından $50 aldın,\nمن بيع الأسهم\n$تحصل على 50,,Da venda de ações você ganha $50
community_5,,"
Income tax refund.
Collect $20","Gelir vergisi iadesi
$20 al",\nاسترداد ضريبة الدخل\n$احصل على 20,,Restituição de imposto de renda. Colete $20
community_6,,"
Life insurance matures
Collect $100","Hayat sigortası primlerin geri ödendi
$100 al",\nاستحقاق التأمين على الحياة\n$احصل على 100,,"Seguro de vida vence 
Colete $100"
community_7,,"
You have won second prize in a beauty contest.
Collect $10","Güzellik yarışmasında ikincilik ödülü kazandın
$10 al",\nلقد فزت بالجائزة الثانية\nفي مسابقة جمال\n$احصل على 10,,"
Você ganhou o segundo prêmio em um concurso de beleza.
Colete $10"
community_8,,"
It is your birthday.
Collect $10 from every player","Bugün doğum günün
Herkesten $10 al",\nإنه عيد ميلادك\n$احصل على 10\nمن كل لاعب,,"É seu aniversário.
Colete $10 de cada jogador."
community_9,,"
Doctor's fees
Pay $50","Doktor ücreti
$50 öde",\n\n$ادفع تكاليف الطبيب 50,,"Taxas Médicas 
Pague $50
"
community_10,,"
Hospital Fees.
Pay $50","Hastane masrafı
$50 öde",\n\n$ادفع تكاليف المستشفى 50,,"Taxas Hospitalares
Pague $50"
community_11,,"
Pay school fees
of $150","Okul harcı için
$150 öde",\n\n$ادفع مصروفات المدرسة 150,,"
Pagar taxas escolares de $150"
community_12,,"

Go to Jail",Hapise Git,\n\nأذهب الى السجن,,Vá para prisão
community_13,,"
Get out of jail free
This card may kept until needed","Hapisten kefaret ödemeden çık
Bu kartı lazım olana dek saklayabilirsin",\nاخرج من السجن مجانًا\nيتم الاحتفاظ بهذه البطاقة\nلحين الحاجة إليها,,"Saia da cadeia de graça
Esta carta pode ser guardado até o necessário"
chance_1,,"
Advance to Go
Collect $200","Başlangıça ilerle
$200 al",\nتقدم الى البداية\n$احصل على 200,,"Avançe para Go
Colete $200"
chance_2,,"

Advance to Bootcamp Avenue",Bootcamp caddesine ilerle,\n\nتقدم إلى جادة بوتكامب,,Avançe para Avenida Bootcamp
chance_3,,"

Go back three spaces",Üç adım geri git,\n\nعد إلى الوراء ثلاث مسافات,,Volte para trás três casas
chance_4,,"Advance to Transformice Alley
If you pass GO collect $200","Transformice Caddesine ilerle
Başlangıçtan geçersen $200 al",\nتقدم إلى زقاق ترانسفورمايس\nإذا مررت من البداية\n$أحصل على 200,,"Avançe para a beco Transformice 
Se você passar no GO colete $200"
chance_5,,"Take a trip to Trade Station
If you pass GO collect $200","Trade İstasyonuna git
Başlangıçtan geçersen $200 al",\nقم برحلة إلى المحطة التجارية \nإذا مررت من البداية\n$أحصل على 200,,"Faça uma viagem para a Estação Trade
Se você passar no GO 
colete $200"
chance_6,,"Advance to Towerdefence Street
If you pass GO collect $200","Towerdefense Sokağa git
Başlangıçtan geçersen $200 al",\nتقدم إلى شارع\nالدفاع عن البرج\nإذا مررت من البداية\n$أحصل على 200,,"Avançe para Estrada Towerdefence
Se passar no GO colete $200 "
chance_7,,"
Pay school fees
of $150","Okul harcı için
$150 öde",\n\n$أدفع مصروفات المدرسة 150,,"
Pagar taxas escolares $ 200"
chance_8,,"

Speeding fine $15",Hız cezası $15 öde,\n\n$غرامة السرعة 15,,Multa por excesso de velocidade $15
chance_9,,"Make general repairs on all of your houses
For each house pay $25
For each hotel pay $100","Binalarının genel tadilatını yap
Her ev için $25 öde
Her otel için $100 öde",قم بإجراء إصلاحات عامة على جميع منازلك\n $مقابل كل منزل ادفع 25\n $مقابل كل فندق ادفع 100,,"
Faça reparos gerais em todas as suas casas
Para cada casa pague $ 25
Para cada hotel pague $ 100"
chance_10,,"
You are assessed for street repairs
For each house pay $40
For each hotel pay $115","Sokağın tadilatı sana düştü
Her ev için $40 öde
Her otel için $115 öde",يجب عليك اصلاح الشوارع\n $مقابل كل منزل ادفع 40 \n $مقابل كل فندق ادفع 115,,"Você é avaliado para reparos na rua
Para cada casa pague $ 40
Para cada hotel pague $ 115"
chance_11,,Bank pays you dividend Of $50,Banka hissenden sana $50 payını ödüyor,\nيدفع لك البنك أرباحًا\n$قدرها 50,,Banco paga para você dividendo de $50
chance_12,,"You have won a crossword competition
Collect $100","Kare bulmaca turnuvasını kazandın
$100 al",\nلقد فزت في مسابقة\nالكلمات المتقاطعة\n$احصل على 100,,Você ganhou uma competição de palavras cruzadas colete $100
chance_13,,"Your Building loan matures
Receive $150","İnşaat kredinin primleri geri ödendi
$150 al",\nموعد استحقاق قرض\nالبناء الخاص بك\n$احصل على 150,,"Seu empréstimo para construção vence
Receba $ 150"
chance_14,,"

Go to Jail",Hapise Git,\n\nأذهب الى السجن,,Vá para prisão
chance_15,,"Get out of jail free
This card may kept until needed","Hapisten kefaret ödemeden çık
Bu kartı lazım olana dek saklayabilirsin",\nاخرج من السجن مجانًا\nيتم الاحتفاظ بهذه البطاقة\nلحين الحاجة إليها,,"Saia da cadeia de graça
Esta carta pode ser guardado até o necessário"
cardinfo_row_price,,Price,Fiyat,السعر,,Preço
cardinfo_row_rent,,Rent,Kira,الاجار,,Aluguel
cardinfo_row_earn,,Take,Al,استلم,,Leva
cardinfo_row_lose,,Pay,Öde,ادفع,,Pague
cardinfo_row_station1,,If 1 Station is owned,Eğer 1 istasyona sahipsen,إذا كنت تمتلك 1 محطة,,Se 1 Estação for de propriedade
cardinfo_row_station2,,If 2 Stations are owned,Eğer 2 istasyona sahipsen,إذا كنت تمتلك 2 محطة,,If 2 Stations are owned
